,dataset_name,model_name,mean_test_accuracy,exp_params,tot_experiment,x_type
39,Cora,GNN,0.1828,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 25}",10,x
40,Cora,GNN,0.14620000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 25}",10,x
41,Cora,GNN,0.13720000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 25}",10,x
42,Cora,GNN,0.182,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 25}",10,x
43,Cora,GNN,0.1506,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 25}",10,x
44,Cora,GNN,0.2638,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 25}",10,x
45,Cora,GNN,0.34199999999999997,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 25}",10,x
46,Cora,GNN,0.32899999999999996,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 25}",10,x
47,Cora,GNN,0.29440000000000005,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.05, 'weight_decay': 0.001, 'epochs': 25}",10,x
48,Cora,GNN,0.1516,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
49,Cora,GNN,0.1196,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
50,Cora,GNN,0.0984,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
51,Cora,GNN,0.174,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 25}",10,x
52,Cora,GNN,0.14980000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
53,Cora,GNN,0.12840000000000001,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
54,Cora,GNN,0.1224,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
55,Cora,GNN,0.1734,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 25}",10,x
56,Cora,GNN,0.15400000000000003,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
57,Cora,GNN,0.16,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
58,Cora,GNN,0.1432,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
59,Cora,GNN,0.1488,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 25}",10,x
60,Cora,GNN,0.17759999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
61,Cora,GNN,0.1336,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
62,Cora,GNN,0.1264,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
63,Cora,GNN,0.1266,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 25}",10,x
64,Cora,GNN,0.15599999999999997,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 25}",10,x
65,Cora,GNN,0.1954,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 25}",10,x
66,Cora,GNN,0.1884,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 25}",10,x
67,Cora,GNN,0.19779999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 25}",10,x
68,Cora,GNN,0.29900000000000004,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 25}",10,x
69,Cora,GNN,0.32620000000000005,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 25}",10,x
70,Cora,GNN,0.3148,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 25}",10,x
71,Cora,GNN,0.3362,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.05, 'weight_decay': 0.001, 'epochs': 25}",10,x
