,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,strategy,noise_level,bidirectional
20,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.9__bidirectional-True,0.664,"0.645,0.712,0.592,0.741,0.63",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.9,True
21,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.95__bidirectional-True,0.574,"0.432,0.563,0.551,0.731,0.591",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.95,True
22,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.99__bidirectional-True,0.594,"0.73,0.544,0.555,0.462,0.679",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.99,True
23,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-1__bidirectional-True,0.658,"0.638,0.699,0.652,0.732,0.569",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,1,True
24,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0__bidirectional-True,0.782,"0.784,0.772,0.789,0.771,0.792",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0,True
25,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.01__bidirectional-True,0.777,"0.782,0.774,0.79,0.757,0.78",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.01,True
26,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.05__bidirectional-True,0.769,"0.763,0.771,0.774,0.767,0.77",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.05,True
27,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.1__bidirectional-True,0.774,"0.777,0.763,0.79,0.768,0.773",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.1,True
28,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.15__bidirectional-True,0.77,"0.76,0.774,0.766,0.772,0.777",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.15,True
29,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.3__bidirectional-True,0.775,"0.78,0.771,0.768,0.776,0.781",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.3,True
30,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.45__bidirectional-True,0.761,"0.767,0.763,0.755,0.755,0.766",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.45,True
31,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.6__bidirectional-True,0.742,"0.744,0.729,0.744,0.747,0.747",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.6,True
32,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.9__bidirectional-True,0.748,"0.753,0.755,0.743,0.744,0.745",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.9,True
33,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.95__bidirectional-True,0.751,"0.753,0.744,0.746,0.764,0.75",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.95,True
34,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.99__bidirectional-True,0.728,"0.722,0.748,0.709,0.719,0.74",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.99,True
35,Cora,Graphsage,x,noise_type-edge_addition__strategy-all_edges__noise_level-1__bidirectional-True,0.744,"0.738,0.753,0.734,0.745,0.749",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,1,True
