,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,strategy,noise_level,bidirectional
20,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.9__bidirectional-False,0.735,"0.749,0.739,0.685,0.761,0.742",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.9,False
21,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.95__bidirectional-False,0.744,"0.786,0.757,0.739,0.737,0.703",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.95,False
22,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.99__bidirectional-False,0.705,"0.668,0.683,0.751,0.735,0.69",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.99,False
23,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-1__bidirectional-False,0.726,"0.719,0.72,0.752,0.687,0.751",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,1,False
24,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0__bidirectional-False,0.785,"0.773,0.787,0.786,0.782,0.798",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0,False
25,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.01__bidirectional-False,0.785,"0.776,0.802,0.776,0.791,0.781",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.01,False
26,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.05__bidirectional-False,0.78,"0.784,0.781,0.766,0.781,0.788",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.05,False
27,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.1__bidirectional-False,0.776,"0.776,0.768,0.768,0.782,0.788",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.1,False
28,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.15__bidirectional-False,0.775,"0.778,0.778,0.774,0.786,0.76",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.15,False
29,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.3__bidirectional-False,0.764,"0.755,0.761,0.759,0.775,0.772",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.3,False
30,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.45__bidirectional-False,0.745,"0.761,0.745,0.737,0.738,0.746",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.45,False
31,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.6__bidirectional-False,0.731,"0.721,0.726,0.746,0.744,0.72",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.6,False
32,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.9__bidirectional-False,0.647,"0.642,0.623,0.666,0.664,0.638",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.9,False
33,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.95__bidirectional-False,0.62,"0.631,0.592,0.604,0.618,0.657",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.95,False
34,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.99__bidirectional-False,0.463,"0.463,0.481,0.45,0.464,0.459",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.99,False
35,Cora,Graphsage,x,noise_type-edge_removal__strategy-all_edges__noise_level-1__bidirectional-False,0.589,"0.595,0.593,0.589,0.571,0.596",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,1,False
