,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,noise_level
20,Cora,GAT,noise_type-feature_noise__noise_level-0.9,edge_index,0.181,"0.11,0.113,0.144,0.319,0.218",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.9
21,Cora,GAT,noise_type-feature_noise__noise_level-0.95,edge_index,0.127,"0.128,0.149,0.105,0.151,0.103",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.95
22,Cora,GAT,noise_type-feature_noise__noise_level-0.99,edge_index,0.14,"0.177,0.13,0.144,0.147,0.103",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.99
23,Cora,GAT,noise_type-feature_noise__noise_level-1,edge_index,0.175,"0.144,0.144,0.281,0.143,0.163",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,1
24,Cora,Graphsage,noise_type-feature_noise__noise_level-0,edge_index,0.781,"0.78,0.786,0.778,0.785,0.778",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0
25,Cora,Graphsage,noise_type-feature_noise__noise_level-0.01,edge_index,0.762,"0.751,0.763,0.751,0.765,0.78",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.01
26,Cora,Graphsage,noise_type-feature_noise__noise_level-0.05,edge_index,0.681,"0.695,0.69,0.691,0.652,0.677",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.05
27,Cora,Graphsage,noise_type-feature_noise__noise_level-0.1,edge_index,0.684,"0.701,0.716,0.653,0.703,0.645",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.1
28,Cora,Graphsage,noise_type-feature_noise__noise_level-0.15,edge_index,0.535,"0.45,0.586,0.564,0.571,0.503",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.15
29,Cora,Graphsage,noise_type-feature_noise__noise_level-0.3,edge_index,0.388,"0.35,0.449,0.435,0.307,0.4",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.3
30,Cora,Graphsage,noise_type-feature_noise__noise_level-0.45,edge_index,0.183,"0.308,0.319,0.064,0.16,0.064",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.45
31,Cora,Graphsage,noise_type-feature_noise__noise_level-0.6,edge_index,0.149,"0.149,0.149,0.151,0.149,0.149",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.6
32,Cora,Graphsage,noise_type-feature_noise__noise_level-0.9,edge_index,0.138,"0.131,0.149,0.13,0.166,0.112",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.9
33,Cora,Graphsage,noise_type-feature_noise__noise_level-0.95,edge_index,0.117,"0.066,0.127,0.128,0.162,0.104",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.95
34,Cora,Graphsage,noise_type-feature_noise__noise_level-0.99,edge_index,0.164,"0.161,0.134,0.104,0.318,0.103",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.99
35,Cora,Graphsage,noise_type-feature_noise__noise_level-1,edge_index,0.166,"0.165,0.137,0.226,0.142,0.158",25,5,"{'in_channels': 1433, 'hidden_channels': 42, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,1
36,Cora,MLP,noise_type-feature_noise__noise_level-0,edge_index,0.508,"0.542,0.492,0.485,0.513,0.506",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0
37,Cora,MLP,noise_type-feature_noise__noise_level-0.01,edge_index,0.544,"0.576,0.477,0.575,0.497,0.595",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.01
38,Cora,MLP,noise_type-feature_noise__noise_level-0.05,edge_index,0.5,"0.52,0.535,0.473,0.471,0.499",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.05
39,Cora,MLP,noise_type-feature_noise__noise_level-0.1,edge_index,0.553,"0.541,0.544,0.534,0.585,0.563",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.1
40,Cora,MLP,noise_type-feature_noise__noise_level-0.15,edge_index,0.52,"0.541,0.535,0.465,0.532,0.529",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.15
41,Cora,MLP,noise_type-feature_noise__noise_level-0.3,edge_index,0.463,"0.476,0.473,0.468,0.381,0.518",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.3
42,Cora,MLP,noise_type-feature_noise__noise_level-0.45,edge_index,0.144,"0.16,0.132,0.142,0.15,0.138",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.45
43,Cora,MLP,noise_type-feature_noise__noise_level-0.6,edge_index,0.176,"0.186,0.13,0.202,0.192,0.171",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.6
44,Cora,MLP,noise_type-feature_noise__noise_level-0.9,edge_index,0.144,"0.146,0.144,0.144,0.144,0.144",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.9
45,Cora,MLP,noise_type-feature_noise__noise_level-0.95,edge_index,0.067,"0.064,0.064,0.078,0.064,0.064",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.95
46,Cora,MLP,noise_type-feature_noise__noise_level-0.99,edge_index,0.319,"0.319,0.319,0.319,0.319,0.319",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.99
47,Cora,MLP,noise_type-feature_noise__noise_level-1,edge_index,0.114,"0.107,0.094,0.13,0.12,0.118",50,5,"{'in_channels': 1433, 'hidden_channels': 100, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,1
